Sole discretion,"Whenever they want, and without asking you."
Sole discretions,"Whenever they want, and without asking you."
Queries,"something you type into a search bar"
Query,"something you type into a search bar"
query,"something you type into a search bar"
queries,terms you type into a search bar
Search query,"something you type into a search bar"
search queries,"something you type into a search bar"
Cookies,"These can collect quite a lot of personal information about you, including your detailed behaviors and interests."
cookie,"These can collect quite a lot of personal information about you, including your detailed behaviors and interests."
Log data,"pages you've viewed, what you clicked on, and sometimes your IP address."
log data,"pages you've viewed, what you clicked on, and sometimes your IP address."
Third party,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
third party,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
Third parties,"Someone other than you and the company. Oftentimes they are advertisers, people buying your data, someone the company is doing business with, and more."
Browsing history,"A history of the web pages you've visited. Never check your Dad's."
Browsing histories,"A history of the web pages you've visited. Never check your Dad's."
Sponsored links,"advertisements"
Sponsored link,"advertisements"
 URLs,"addresses for web pages (ie https://www.something.com)"
 URL,"address for a web page (ie https://www.something.com)"
Usage statistics,"Information about what ways people use the site"
IP address,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
IP addresses,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
IP,"(Internet Protocol),like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
Internet Protocol Address,"like the digital version of a home address for your computer or any device connected to the internet. Identifies you general location, network type, and potentially the type of device your using."
Partners,"Companies that work with the company. Even though you may not know them, they may have the right to your information."
partner,"Companies that work with the company. Even though you may not know them, they may have the right to your information."
Demographic data,"Age, location, ethnicity, gender, can even be political beliefs, sexual orientation, level of education, or physical attributes."
demographic information,"Age, location, ethnicity, gender, can even be political beliefs, sexual orientation, level of education, or physical attributes."
network activity,"Anything you do on the internet."
Network activities,"Anything you do on the internet"
web beacons,"there to collect data on wether you open an email, or how you interact with the page"
Web beacon,"there to collect data on wether you open an email, or how you interact with the page"
flash cookies,"larger, harder to delete cookies"
Flash cookie,"larger, harder to delete cookies"
Pixel tags,"there to collect data on wether you open an email, or how you interact with the page"
Pixel tag," there to collect data on wether you open an email, or how you interact with the page"
Clear GIF’s,"there to collect data on wether you open an email, or how you interact with the page"
Clear gif," there to collect data on wether you open an email, or how you interact with the page"
data transmission volumes,"How much data (like emails or videos) you send and receive over the internet"
data transmission volume,"How much data (like emails or videos) you send and receive over the internet"
usage data,"Which buttons you click, what you search, or how long you stay on a page."
Tailor,"infered from your personal information"
Tailored,"infered from your personal information"
tailoring,"infered from your personal information"
non-query submissions,"Information you give that isn't from a direct question, such as filling out a form"
non-query submission,"Information you give that isn't from a direct question, such as filling out a form"
Usage patterns,"The common ways you use a service, like what you click on"
Usage pattern,"The common ways you use a service, like what you click on"
Timestamps,"Records of the exact date and time when something happens"
Timestamp,"Records of the exact date and time when something happens"
navigational actions,"The things you do to move around a website, like clicking links"
navigational action,"The things you do to move around a website, like clicking links"
referring websites,"The last website you visited before going to a new one"
referring website,"The last website you visited before going to a new one"
Referring page,"The last page you visited before going to a new one"
Referring pages,"The last page you visited before going to a new one"
paid listings,"an advertisement that appears as a result from a search engine"
paid listing,"an advertisement that appears as a result from a search engine"
collect info from 3rd parties,"Getting information about you from other companies"
service providers,"Very broad, so beware. Could potentially mean advertisers, or people who collect data about you and sell it."
service provider,"Very broad, so beware. Could potentially mean advertisers, or people who collect data about you and sell it."
analytics providers,"Companies that analyze your information. "
analytics provider,"Company that analyze your information."
Software Developer Kits,"Tools that let developers add certain features to their apps, like ads or data collection"
 SDKs,"Software Developer Kits - Tools that let developers add certain features to their apps, like ads or data collection"
SDK,"Software Developer Kits - Tools that let developers add certain features to their apps, like ads or data collection"
commercial sources,"Information from businesses, not directly from individuals"
commercial sources,"Information from businesses, not directly from individuals"
legitimate interests,"Can mean anything that is in the business interest of the company. Can go from as harmless as helping their security, to as dangerous in collecting as much personal data about you as they can to target your interest or to sell it to others."
legitimate interest,"Can mean anything that is in the business interest of the company. Can go from as harmless as helping their security, to as dangerous in collecting as much personal data about you as they can to target your interest or to sell it to others."
Automated,"Using machines and algorithms to do things without human input."
unrelated websites,"Websites that have no direct connection or relation to the site you're currently using. For instance, if you move from a news website to a shopping site, these are unrelated websites unless the shopping site is directly linked or owned by the news site."
unrelated website,"Websites that have no direct connection or relation to the site you're currently using. For instance, if you move from a news website to a shopping site, these are unrelated websites unless the shopping site is directly linked or owned by the news site."
web analytics,"The process of collecting and analyzing data about website visitors and their behaviors. Companies use web analytics to understand how people interact with their sites, which they may use to make marketing more effective, and tailor content."
De identified,"Information from which identifiers (like your name or email address) have been removed to prevent your identification. However, companies can oftern re-identify this data later on."
Affiliates,"Connected businesses. You may not know them, but they may have rights to your Personal Information."
Affiliate,"Connected businesses. You may not know them, but they may have rights to your Personal Information."
Pseudonymized,"Changing personal data so it can't be associated with a specific person. Beware, the process is reversible."
Pseudonymize,"Changing personal data so it can't be associated with a specific person. Beware, the process is reversible."
Pseudonymizing,"Changing personal data so it can't be associated with a specific person. Beware, the process is reversible."
purchase history,"Records of the things you've bought."
purchase histories,"Records of the things you've bought."
credit bureaus,"Organizations that collect financial data about individuals, such as how they use credit cards, loans, and their repayment history. This information helps lenders decide whether to offer credit"
joint marketing partners,"Companies that work together in promoting or selling products or services. This partnership might involve sharing customer data to target advertising more effectively."
joint marketing partner,"Companies that work together in promoting or selling products or services. This partnership might involve sharing customer data to target advertising more effectively."
Resellers,"Businesses that buy products from manufacturers or wholesalers and then sell them to consumers or other businesses. Resellers might not alter the product, but they provide accessibility to it in different markets"
reseller,"Businesses that buy products from manufacturers or wholesalers and then sell them to consumers or other businesses. Resellers might not alter the product, but they provide accessibility to it in different markets"
Subsidiaries,"Companies that are owned or controlled by another company, known as the parent company. Subsidiaries can operate under their own name and might have their own privacy policies if they handle personal data."
Subsidiary,"Companies that are owned or controlled by another company, known as the parent company. Subsidiaries can operate under their own name and might have their own privacy policies if they handle personal data."
Sub-contractors,"Individuals or companies hired to perform specific tasks for another business under a contract. Sub-contractors are further down the chain, hired by contractors to help fulfill their obligations."
Sub-contractor,"Individuals or companies hired to perform specific tasks or services for another business under a contract."
Contractors,"Individuals or companies hired to perform specific tasks for another business under a contract. "
Contractor,"Individuals or companies hired to perform specific tasks for another business under a contract."
advertising technology vendors,"Companies that provide tools for online advertising, such as displaying ads, measuring their effectiveness, or targeting users based on behavior and preferences."
advertising technology vendor,"Companies that provide tools for online advertising, such as displaying ads, measuring their effectiveness, or targeting users based on behavior and preferences."
Public databases,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data"
Public database,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data"
Public sources,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data."
Public source,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data."
publicly available sources,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data."
publicly available source,"Data obtained from sources like government records, published articles, or purchased marketing lists. This data can include demographic details, contact information, or other publicly accessible or commercially sold data."
commercially-available sources,"These are databases or collections of information that companies can buy or access, usually containing contact information, demographic data, and consumer preferences. They're used for research, marketing, and sales strategies."
commercially-available source,"These are databases or collections of information that companies can buy or access, usually containing contact information, demographic data, and consumer preferences. They're used for research, marketing, and sales strategies.
Usage information,"a record of your activities on websites and apps, such as which features you use or how long you stay on a page."
marketing messages,"targeted messages from companies, designed based on what you do online. They use your online behavior to guess what products or services you might be interested in."
marketing message,"targeted messages from companies, designed based on what you do online. They use your online behavior to guess what products or services you might be interested in."
marketing messaging,"targeted messages from companies, designed based on what you do online. They use your online behavior to guess what products or services you might be interested in."
analytics service providers,"companies that analyze how people use websites and apps"
analytics service provider,"companies that analyze how people use websites and apps"
Advertising cookies,"Tiny pieces of data stored on your device that track your online activity. This data can be used to target advertisements"
Advertising cookie,"Tiny pieces of data stored on your device that track your online activity. This data can be used to target advertisements"
resettable device identifiers,"Unique codes on your gadgets that track how you use apps and websites. You can reset them, which is like telling apps to forget what they know about you, offering a bit of privacy control."
resettable device identifier,"Unique codes on your gadgets that track how you use apps and websites. You can reset them, which is like telling apps to forget what they know about you, offering a bit of privacy control."
interest-based advertising,"Ads tailored to you based on your personal information."
interest-based advertisment,"Ads tailored to you based on your personal information."
targeting Cookies,"Special cookies used to collect information about your online habits, making the ads you see even more personalized"
targeting Cookie,"Special cookies used to collect information about your online habits, making the ads you see even more personalized"
DART cookie,"Specific cookies used by Google to manage and show ads across the internet, based on your browsing history"
DART cookies,"Specific cookies used by Google to manage and show ads across the internet, based on your browsing history"
cookie identifiers,"Unique codes in cookies that help websites recognize your computer or phone when you revisit. It's like having a unique ID badge online."
cookie identifier,"Unique codes in cookies that help websites recognize your computer or phone when you revisit. It's like having a unique ID badge online."
web traffic analysis services,"Tools that help websites understand how many people visit, where they come from, and what they do on the site."
web traffic analysis service,"Tools that help websites understand how many people visit, where they come from, and what they do on the site."
JavaScript,"A programming language that makes websites interactive and dynamic. Nothing to worry about."
Flash LSOs,"More robust than typical cookies, Flash LSOs store data for Flash-based applications. They can hold more information and aren't as easily managed by standard browser tools, presenting challenges for users who wish to control their online footprint"
Flash LSO,"More robust than typical cookies, Flash LSOs store data for Flash-based applications. They can hold more information and aren't as easily managed by standard browser tools, presenting challenges for users who wish to control their online footprint"
LSO,"Also known as Flash cookies, these are used by websites to store more complex data on a user's computer. While they enhance web functionality, they also highlight concerns regarding user privacy and the persistence of online data storage"
user input cookies,"Cookies that remember data you’ve entered into a site, such as form inputs or selections, streamlining your future visits by not requiring you to re-enter the same information"
user input cookie,"Cookies that remember data you’ve entered into a site, such as form inputs or selections, streamlining your future visits by not requiring you to re-enter the same information"
authentication cookies,"Specialized cookies that keep you logged in to a website, so you don’t have to enter your login details every time. They're crucial for user convenience but also raise considerations about security and privacy."
authentication cookie,"Specialized cookies that keep you logged in to a website, so you don’t have to enter your login details every time. They're crucial for user convenience but also raise considerations about security and privacy."
performance cookies,"These gather data on how a website performs for each user, such as load times and error messages, aiming to pinpoint areas for improvement."
performance cookie,"These gather data on how a website performs for each user, such as load times and error messages, aiming to pinpoint areas for improvement."
Security cookies,"Designed to secure user sessions and protect against malicious attempts to access personal information."
Security cookie,"Designed to secure user sessions and protect against malicious attempts to access personal information."
AdSense,"Google's platform that allows publishers to monetize their content by displaying relevant ads to their audience."
device identifier,"Codes assigned to devices that allow for tracking and personalization of content and ads across mobile apps and websites"
device identifiers,"Codes assigned to devices that allow for tracking and personalization of content and ads across mobile apps and websites"
Third party cookies,"Cookies placed by domains other than the one you’re visiting, primarily used for tracking and advertising across multiple sites. Their use has raised discussions about privacy and the extent of tracking across the internet."
Third party cookie,"Cookies placed by domains other than the one you’re visiting, primarily used for tracking and advertising across multiple sites. Their use has raised discussions about privacy and the extent of tracking across the internet."
Google Advertiser ID,"Unique identifiers for Android and iOS devices respectively, used for advertising purposes. They allow for activity tracking across different apps."
Google Advertiser IDs,"Unique identifiers for Android and iOS devices respectively, used for advertising purposes. They allow for activity tracking across different apps."
IDFA,""Identifier for Advertisers" on Apple's iOS devices. A unique identifier assigned by Apple to a device, used to send data about you to advertisers. (Does not personally identify you)."
IDFAs,""Identifier for Advertisers" on Apple's iOS devices. A unique identifier assigned by Apple to a device, used to send data about you to advertisers. (Does not personally identify you)."
Advertising IDs,"unique ID's assigned by IOS and Android to track your activity across sites and apps."
Advertising ID,"unique ID's assigned by IOS and Android to track your activity across sites and apps."
Geolocated,"Technology that pinpoints your physical location via your device."
Geolocation,"Technology that pinpoints your physical location via your device."
Geolocating,"Technology that pinpoints your physical location via your device."
AdWords,"An ad program created by Google"
AdWord,"ad program created by Google"
traffic measurement,"The analysis of data on how many people visit a site and their behavior during the visit"
traffic measurements,"The analysis of data on how many people visit a site and their behavior during the visit"
pixel tags,"Tiny bits of code on websites and emails that help count visitors and see what they do, like clicking links. Imagine them as invisible counters."
pixel tag,"Tiny bits of code on websites and emails that help count visitors and see what they do, like clicking links. Imagine them as invisible counters."
local storage,"A place on your computer or phone where websites keep information so they remember you and what you like. It's like a memory box for websites."
local storages,"A place on your computer or phone where websites keep information so they remember you and what you like. It's like a memory box for websites."
Marketing tags,"Small pieces of code on websites that collect info about how you interact with ads or pages. Think of them as digital note-takers for marketing folks"
Marketing tag,"Small pieces of code on websites that collect info about how you interact with ads or pages. Think of them as digital note-takers for marketing folks"
Local Stored Objects,"Similar to cookies but can hold more info and are tougher to delete. They're like sticky notes on your computer that remember more about you for websites using Adobe Flash"
Local Stored Object,"Similar to cookies but can hold more info and are tougher to delete. They're like sticky notes on your computer that remember more about you for websites using Adobe Flash"
Interest based ads,"Ads that show up because they match what you seem to like, based on your online activities. It’s as if ads are tailored to catch your eye specifically."
Interest based ad,"Ads that show up because they match what you seem to like, based on your online activities. It’s as if ads are tailored to catch your eye specifically.
Interest based advertisement,"Ads that show up because they match what you seem to like, based on your online activities. It’s as if ads are tailored to catch your eye specifically.
Interest based advertising,"Ads that show up because they match what you seem to like, based on your online activities. It’s as if ads are tailored to catch your eye specifically.
Behavior based advertising,"Ads based on the very specific actions you take online, like what you search for or look at. It’s like having a billboard change based on your interests as you walk by."
Behavior based advertisement,"Ads based on the very specific actions you take online, like what you search for or look at. It’s like having a billboard change based on your interests as you walk by."
Behavior based ad,"Ads based on the specific actions you take online, like what you search for or look at. It’s like having a billboard change based on your interests as you walk by. "
Behavior based ads,"Ads based on the specific actions you take online, like what you search for or look at. It’s like having a billboard change based on your interests as you walk by."
Ad ID,"A special number for your device that advertisers use to show you ads. Imagine it as a unique barcode for your phone or computer that helps show ads you’re more likely to care about."
Third party advertising companies,"Businesses that put ads on websites you visit, not owned by the website itself. "
Third party advertising company,"Businesses that put ads on websites you visit, not owned by the website itself. "
Third party ad company,"Businesses that put ads on websites you visit, not owned by the website itself. "
Automated means,"Things done by computers or machines without humans telling them what to do each time"
Automated mean,"Things done by computers or machines without humans telling them what to do each time"
Flash cookies,"Cookies used by Adobe Flash to store info, harder to control than regular cookies. Think of them as cookies with a superpower for memory"
Flash cookie,"Cookies used by Adobe Flash to store info, harder to control than regular cookies. Think of them as cookies with a superpower for memory"
HTML5,"The code that makes websites look and work the way they do today, allowing for videos, games, and more without extra software"
Data partners,"Companies that share information with each other about what people do or like."
Data partner,"Companies that share information with each other about what people do or like."
Website analytics,"Tools that show how visitors use their site."
Website analytic,"Tools that show how visitors use their site."
Clear GIFs,"Tiny, invisible images on websites or in emails that help send back information about your visit or email opening. It's another way companies keep track of what grabs your attention"
Clear GIF,"Tiny, invisible images on websites or in emails that help send back information about your visit or email opening. It's another way companies keep track of what grabs your attention"
Mobile Software Development Kits,"Nothing to worry about. These are like toolboxes for app creators, packed with tools and code that make it easier to add features to apps, such as tracking how users interact with the app or showing ads"
Mobile Software Development Kit,"Nothing to worry about. These are like toolboxes for app creators, packed with tools and code that make it easier to add features to apps, such as tracking how users interact with the app or showing ads"
Ad identifiers,"Unique numbers assigned to your phone or tablet that let advertisers keep track of your interests without knowing who you are."
Ad identifier,"Unique numbers assigned to your phone or tablet that let advertisers keep track of your interests without knowing who you are."
DoubleClick Cookie,"A type of online tracking cookie used by Google to collect information about what ads you've seen and how you interacted with them"
DoubleClick Cookies,"A type of online tracking cookie used by Google to collect information about what ads you've seen and how you interacted with them"
persistent cookie,"Cookies that remember you and your preferences over a long period, even after closing the browser. These are pretty invasive, beware!"
persistent cookies,"Cookies that remember you and your preferences over a long period, even after closing the browser. These are pretty invasive, beware!"
Hashed,"a way to turn information into unreadable and scrambled code. "
Hashing,"a way to turn information into unreadable and scrambled code. "
hash,"a way to turn information into unreadable and scrambled code. "
Aggregated,"putting a bunch of data together to look at the big picture, without looking at individual details."
Aggregate,"putting a bunch of data together to look at the big picture, without looking at individual details."
Disclose,"to reveal"
Disclosed,"revealed"
Disclosing,"revealing"
data aggregation,"Gathering data from different sources and putting it together"
device IDs,"unique number assigned to your device. Can be used to identify you for advertisments."
device ID,"unique number assigned to your device. Can be used to identify you for advertisments."
data enrichment providers,"Companies that add more information about you to the data businesses already have about you."
data enrichment provider,"Companies that add more information about you to the data businesses already have about you."
data enrichment aggregators,"Companies that add more information about you to the data businesses already have about you."
data enrichment aggregator,"Companies that add more information about you to the data businesses already have about you."
data enrichment aggregating,"Companies that add more information about you to the data businesses already have about you."
data exchange programs,"arrangements where companies share specific pieces of information with each other"
data exchange program,"arrangements where companies share specific pieces of information with each other."
commercial data exchange,"Where companies share and/or sell your data with other companies."
commercial data exchanges,"Where companies share and/or sell your data with other companies."
commercial data exchanging,"Where companies share and/or sell your data with other companies."
online identifiers,"a general term for information that can identify you online. Can include IP addresses, Cookies, email, Device Id's, and more"
cookie IDs,"unique numbers stored in cookies on your device by websites. They remember your visits and actions on a site. For example, they can keep you logged into a site, remember what's in your shopping cart, or even track the pages you've visited for personalized advertising"
